trial seq trialInSeq block type direction rotation TR t t.offset
0 0 0 0 active 90 0.000000 1 0.000000 0.0
1 0 1 0 active -90 0.250000 1 0.000000 0.0
2 0 2 0 active 180 0.500000 1 0.000000 0.0
3 0 3 0 active 0 0.750000 1 0.000000 0.0
4 0 4 0 active 90 1.000000 1 0.000000 0.0
5 0 5 0 active -90 1.250000 1 0.000000 0.0
6 0 6 0 active 180 1.500000 1 0.000000 0.0
7 0 7 0 active 0 1.750000 1 0.000000 0.0
8 1 0 0 active 90 2.000000 1 0.000000 0.0
9 1 1 0 active -90 2.250000 1 0.000000 0.0
10 1 2 0 active 180 2.500000 1 0.000000 0.0
11 1 3 0 active 0 2.750000 1 0.000000 0.0
12 1 4 0 active 90 3.000000 1 0.000000 0.0
13 1 5 0 active -90 3.250000 1 0.000000 0.0
14 1 6 0 active 180 3.500000 1 0.000000 0.0
15 1 7 0 active 0 3.750000 1 0.000000 0.0
16 2 0 0 active 90 4.000000 1 0.000000 0.0
17 2 1 0 active -90 4.250000 1 0.000000 0.0
18 2 2 0 active 180 4.500000 1 0.000000 0.0
19 2 3 0 active 0 4.750000 1 0.000000 0.0
20 2 4 0 active 90 5.000000 1 0.000000 0.0
21 2 5 0 active -90 5.250000 1 0.000000 0.0
22 2 6 0 active 180 5.500000 1 0.000000 0.0
23 2 7 0 active 0 5.750000 1 0.000000 0.0
24 3 0 0 active 90 6.000000 1 0.000000 0.0
25 3 1 0 active -90 6.250000 1 0.000000 0.0
26 3 2 0 active 180 6.500000 1 0.000000 0.0
27 3 3 0 active 0 6.750000 1 0.000000 0.0
28 3 4 0 active 90 7.000000 1 0.000000 0.0
29 3 5 0 active -90 7.250000 1 0.000000 0.0
30 3 6 0 active 180 7.500000 1 0.000000 0.0
31 3 7 0 active 0 7.750000 1 0.000000 0.0
32 4 0 0 active 90 8.000000 1 0.000000 0.0
33 4 1 0 active -90 8.250000 1 0.000000 0.0
34 4 2 0 active 180 8.500000 1 0.000000 0.0
35 4 3 0 active 0 8.750000 1 0.000000 0.0
36 4 4 0 active 90 9.000000 1 0.000000 0.0
37 4 5 0 active -90 9.250000 1 0.000000 0.0
38 4 6 0 active 180 9.500000 1 0.000000 0.0
39 4 7 0 active 0 9.750000 1 0.000000 0.0
40 0 0 1 active 90 10.000000 1 0.000000 0.0
41 0 1 1 active -90 10.000000 1 0.000000 0.0
42 0 2 1 active 180 10.000000 1 0.000000 0.0
43 0 3 1 active 0 10.000000 1 0.000000 0.0
44 0 4 1 active 90 10.000000 1 0.000000 0.0
45 0 5 1 active -90 10.000000 1 0.000000 0.0
46 0 6 1 active 180 10.000000 1 0.000000 0.0
47 0 7 1 active 0 10.000000 1 0.000000 0.0
